n_components,accuracy,time_taken
10,0.9075,0.6864404678344727
15,0.9378,1.2478339672088623
20,0.946,0.3798103332519531
25,0.9493,0.38497042655944824
30,0.9523,0.390927791595459
35,0.9568,0.40950942039489746
40,0.9579,0.44020795822143555
45,0.9577,0.427793025970459
50,0.9578,0.4795341491699219
55,0.9581,0.5100793838500977
60,0.9583,0.4890580177307129
65,0.9577,0.524554967880249
70,0.9576,0.5678741931915283
75,0.9566,0.5395073890686035
80,0.9577,0.557166337966919
85,0.9578,0.5639388561248779
90,0.9582,0.5864946842193604
95,0.9583,0.6226987838745117
100,0.9575,0.6281001567840576
105,0.9571,0.6528639793395996
110,0.9569,0.6549134254455566
115,0.9568,0.6642777919769287
120,0.9571,0.7036263942718506
125,0.957,0.7179207801818848
130,0.9564,0.7307558059692383
135,0.9555,0.7453038692474365
140,0.956,0.7680995464324951
145,0.9558,0.779416561126709
150,0.9556,0.7896020412445068
155,0.9558,0.8155462741851807
160,0.9566,0.8256802558898926
165,0.9563,0.8748390674591064
170,0.9562,0.8536312580108643
175,0.9554,0.881253719329834
180,0.9553,0.8990395069122314
185,0.9548,0.917710542678833
190,0.9555,0.9302535057067871
195,0.955,0.9468779563903809
200,0.9547,0.96402907371521
205,0.9539,0.9757084846496582
210,0.9542,0.999617338180542
215,0.9547,1.0228044986724854
220,0.9546,1.0511491298675537
225,0.9543,1.0855886936187744
230,0.954,1.0780906677246094
235,0.9542,1.1156315803527832
240,0.9534,1.095672607421875
245,0.9537,1.1418709754943848
250,0.9531,1.148914098739624
255,0.9527,1.1692445278167725
260,0.9521,1.2115449905395508
265,0.9514,1.2151763439178467
270,0.9513,1.2272541522979736
275,0.9512,1.2531037330627441
280,0.9511,1.2710201740264893
285,0.9509,1.2684025764465332
290,0.9505,1.2875683307647705
295,0.9501,1.3076286315917969
300,0.9497,1.3315610885620117
305,0.9498,1.3814523220062256
310,0.9491,1.3899750709533691
315,0.9492,1.3983871936798096
320,0.9488,1.408151388168335
325,0.9485,1.4915680885314941
330,0.9486,1.4657790660858154
